mangaid,ha_z
1-338117,0.1413641
1-338389,0.0723839
1-338389,0.0723841
1-338279,0.1179491
1-338279,0.1178471
1-338090,0.08079851
1-338090,0.08079818
1-377176,0.04953774
1-377176,0.04952206
1-377439,0.1192949
1-377439,0.119269
1-338044,0.1217284
1-338044,0.1218505
1-338034,0.05193192
1-338034,0.05193192
1-338060,0.05090662
1-338060,0.05083641
1-338283,0.1217575
1-338283,0.1215672
1-338359,0.1010575
1-338359,0.1010574
1-604748,0.05004135
1-604748,0.05004135
1-377125,0.05845559
1-377125,0.05845561
1-547999,0.1359184
1-547999,0.1358683
1-377221,0.02760365
1-377221,0.02760365
1-338629,0.1161658
1-338629,0.1161658
1-548004,0.06042585
1-548004,0.0604259
1-548025,0.05676119
1-548025,0.05676121
1-377617,0.1074754
1-377617,0.1074732
1-377626,0.07002439
1-377626,0.07002378
1-377471,0.1222548
1-377471,0.1221038
1-377321,0.04439719
1-377321,0.04439719
1-377576,0.02528979
1-377576,0.02528978
1-338633,0.02727163
1-338633,0.02727144
1-548024,0.1295889
1-548024,0.1295889
1-377378,0.02657734
1-377378,0.02657733
1-548001,0.1223008
1-548001,0.1222759
1-377508,0.08731523
1-377508,0.08731165
1-377560,0.02305856
1-377560,0.02305856
1-548033,0.05859481
1-548033,0.05859518
1-338934,0.04356566
1-338934,0.04331207
1-338922,0.1344408
1-338922,0.1344408
1-377841,0.1309093
1-377841,0.1309093
1-377986,0.07939256
1-377986,0.07936958
1-338937,0.04467908
1-338937,0.04433825
1-377686,0.04370616
1-377686,0.04370616
1-377990,0.06889646
1-377990,0.06889676
1-548036,0.05721185
1-548036,0.05714571
1-377702,0.02635826
1-377702,0.02635826
1-377781,0.05573616
1-377781,0.05573611
1-377780,0.05996252
1-377780,0.0599615
1-567948,0.1311607
1-567948,0.1311608
1-377787,0.06769921
1-377787,0.06769919
1-377679,0.05648796
1-377679,0.05648796
1-377720,0.1435591
1-377720,0.1435591
1-377978,0.02120549
1-377978,0.02120549
1-378164,0.03219345
1-378164,0.03219344
1-378271,0.02098551
1-378271,0.02099183
1-548076,0.08108924
1-548076,0.08108922
1-378182,0.01787615
1-378182,0.01787615
1-378039,0.07659552
1-378039,0.07659552
1-378276,0.06230597
1-378276,0.06230549
1-378237,0.1278235
1-378237,0.1278233
1-378168,0.1480553
1-378168,0.1480565
1-378123,0.05528098
1-378123,0.05523416
1-338911,0.04361898
1-338911,0.04361897
1-339218,0.07557591
1-339218,0.0755759
1-378148,0.03210113
1-378148,0.03210123
1-548075,0.03633008
1-548075,0.03633009
1-378373,0.0212636
1-378373,0.0212636
1-548074,0.1280191
1-548074,0.1280007
1-339163,0.03104866
1-339163,0.03104867
1-604761,0.06180792
1-604761,0.06180792
1-43012,0.05265033
1-43012,0.05265032
1-43009,0.05100749
1-43009,0.05100749
1-43506,0.09437077
1-43506,0.09437076
1-43497,0.02647566
1-43497,0.02647566
1-337898,0.03753524
1-337898,0.03753523
1-43214,0.1177692
1-43214,0.1177692
1-43241,0.09530992
1-43241,0.09530932
1-43229,0.04147051
1-43229,0.04147052
1-43512,0.0705348
1-43512,0.07050344
1-43505,0.03048923
1-43505,0.03048923
1-43148,0.01085437
1-43148,0.01085437
1-43099,0.08677556
1-43099,0.08677501
1-338220,0.04879051
1-338220,0.0487905
1-338237,0.05085394
1-338237,0.05085395
1-338152,0.08693369
1-338152,0.0869332
1-43022,0.04593244
1-43022,0.04593245
1-338709,0.03820981
1-338709,0.03820981
1-338697,0.04990186
1-338697,0.04990185
1-338796,0.03829467
1-338796,0.03829467
1-338770,0.0459731
1-338770,0.04597309
1-338737,0.04091477
1-338737,0.04091477
1-338677,0.02313318
1-338677,0.02313319
1-43717,0.03153664
1-43717,0.03153661
1-43723,0.04164066
1-43723,0.0416407
1-574402,0.1321391
1-574402,0.132139
1-338746,0.03172093
1-338746,0.03172092
1-338828,0.04180228
1-338828,0.04180228
1-338851,0.08449011
1-338851,0.08449027
1-338721,0.03712906
1-338721,0.03720658
1-43718,0.04176329
1-43718,0.04176325
1-43721,0.1115219
1-43721,0.1115219
1-338822,0.1194562
1-338822,0.1194059
1-43724,0.03113235
1-43724,0.03113236
1-338829,0.04480351
1-338829,0.04480351
1-338963,0.05008043
1-338963,0.05008043
1-339166,0.03171314
1-339166,0.03171312
1-339041,0.03088108
1-339041,0.0308811
1-339042,0.05317966
1-339042,0.05317966
1-339233,0.02749643
1-339233,0.02749643
1-44216,0.0495366
1-44216,0.0495366
1-339028,0.04977464
1-339028,0.04977462
1-339132,0.05998507
1-339132,0.06080468
1-44183,0.02629736
1-44183,0.02629736
1-339010,0.0313842
1-339010,0.0313842
1-339061,0.02042053
1-339061,0.02042056
1-339138,0.03818938
1-339138,0.03818938
1-339258,0.03824025
1-339258,0.03824026
1-548136,0.05319371
1-548136,0.0531937
1-44219,0.06328612
1-44219,0.06328612
1-121151,0.01559706
1-121151,0.01559706
1-71137,0.02667132
1-71137,0.02667132
1-71124,0.01385689
1-71124,0.01384726
1-604797,0.01353316
1-604797,0.01353316
1-604821,0.02715827
1-604821,0.02715828
1-71180,0.05495133
1-71180,0.0549669
