mangaid,sfr_tot,nsa_sersic_mass
1.38062,0.02027398,1.03655E+10
1.38062,0.01732127,1.03655E+10
1.37974,0.6113501,2.48365E+09
1.37974,0.578134,2.48365E+09
1.38041,0.08428056,6.38178E+09
1.38041,0.08229747,6.38178E+09
1.37908,0.2638172,5.34336E+09
1.37908,0.1916311,5.34336E+09
1.603996,0.03625797,8.88708E+10
1.603996,0.03531123,8.88708E+10
1.109284,0.6556692,3.77069E+10
1.109284,0.4815552,3.77069E+10
1.38029,0.3708385,4.10228E+10
1.38029,0.333901,4.10228E+10
1.37769,0.4711683,4.49577E+09
1.37769,0.3205802,4.49577E+09
1.38075,0.08980717,2.54097E+10
1.38075,0.04257143,2.54097E+10
1.37671,0.08160853,1.80728E+11
1.37671,0.04994767,1.80728E+11
1.37730,0.0426967,1.49561E+09
1.37730,4.106277E.05,1.49561E+09
1.38398,0.03150383,9.45108E+09
1.38398,0.02060765,9.45108E+09
1.38138,0.1358371,1.87812E+09
1.38138,0.08168913,1.87812E+09
1.38000,0.07673185,1.30279E+09
1.38000,0.01232575,1.30279E+09
1.37931,0.2939177,3.336E+09
1.37931,0.2614796,3.336E+09
1.37923,0.08878766,2.30678E+09
1.37923,0.06414679,2.30678E+09
1.37679,0.03161827,2.12145E+11
1.37679,0.01226422,2.12145E+11
1.38166,0.004080889,1.22589E+09
1.38166,0.001483943,1.22589E+09
1.109356,0.1525302,3.03027E+09
1.109356,0.1372395,3.03027E+09
1.38014,1.607981,7.77784E+09
1.38014,1.489387,7.77784E+09
1.38011,0.2394757,5.24889E+09
1.38011,0.1644304,5.24889E+09
1.38033,0.06287758,3.36202E+10
1.38033,0.0408432,3.36202E+10
1.37936,0.2117226,3.34168E+09
1.37936,0.1453398,3.34168E+09
1.38136,0.02492828,1.36773E+08
1.38136,0.01650326,1.36773E+08
1.37727,0.2344551,1.6594E+10
1.37727,0.2073597,1.6594E+10
1.38160,0.1988387,1.69834E+10
1.38160,0.1150847,1.69834E+10
1.604017,0.2831911,2.11484E+10
1.604017,0.1735739,2.11484E+10
1.38101,0.1983714,1.003E+11
1.38101,0.1912411,1.003E+11
1.38042,0.1461252,8.84374E+09
1.38042,0.1310487,8.84374E+09
1.109308,0.7582098,2.22683E+11
1.109308,0.2088458,2.22683E+11
1.38008,0.05297911,1.45008E+11
1.38008,0.0213333,1.45008E+11
1.38103,0.0105315,7.46911E+09
1.38103,0.008512537,7.46911E+09
1.604037,0.0008860115,6.97622E+09
1.604037,0.000874751,6.97622E+09
1.37996,0.01409953,2.87733E+08
1.37996,0.01147229,2.87733E+08
1.37973,0.018697,8.87532E+08
1.37973,0.009105531,8.87532E+08
1.37998,0.002268878,6.83448E+09
1.37998,0.001367188,6.83448E+09
